"activity_code","activity_description"
"A","Stops or shunts for other trains to pass"
"AE","Attach/detach assisting locomotive"
"BL","Stops for banking locomotive"
"C","Stops to change trainmen"
"D","Stops to set down passengers"
"-D","Stops to detach vehicles"
"E","Stops for examination"
"G","National Rail Timetable data to add"
"H","Notional activity to prevent WTT timing columns merge"
"HH","As H, where third column involved"
"K","Passenger count point"
"KC","Ticket collection and examination point"
"KE","Ticket examination point"
"KF","Ticket examination point, 1st Class only"
"KS","Selective ticket examination point"
"L","Stops to change locomotives"
"N","Stop not advertised"
"OP","Stops for other operating reasons"
"OR","Train Locomotive on rear"
"PR","Propelling between points shown"
"R","Stops when required"
"RM","Reversing movement, or driver changes ends"
"RR","Stops for locomotive run around"
"S","Stops for railway personnel only"
"T","Stops to take up and set down passengers"
"-T","Stops to attach and detach vehicles"
"TB","Train begins"
"TF","Train finishes"
"TS","Detail Consist for TOPS Direct requested by EWS"
"TW","Stops (or at pass) for tablet, staff or token"
"U","Stops to take up passengers"
"-U","Stops to attach vehicles"
"W","Stops for watering of coaches"
"X","Passes another train at crossing point on single line"
