"td_area_code","td_area_name"
"A2","Ashford IECC B"
"A3","Ashford TD"
"AD","Ashford IECC A"
"AL","Alnmouth"
"AN","Allington Junction"
"AS","Aston"
"AW","Acton Wells"
"BA","Barnsley"
"BE","Basingstoke"
"BG","Bromsgrove Corridor"
"BL","Bristol PSB"
"BM","Barnham"
"BN","Birmingham NS PSB"
"BP","Dorset Coast"
"BS","Barnes"
"BU","Burton Area"
"BX","West of England Line"
"C1","SWCC Newport Corridor"
"C2","SWCC Cardiff Area"
"C3","SWCC Shrewsbury North"
"C4","WROC Shrewsbury-Newport"
"C5","WROC North Wales Coast"
"C6","SWCC Swansea Area"
"CA","Cambridge PSB"
"CC","Colchester"
"CD","Castleford"
"CE","Crewe PSB"
"CH","Chichester"
"CL","Carlisle PSB"
"CS","Chester PSB"
"CT","High Speed 1"
"CV","Cherwell Valley"
"CY","Coventry"
"D0","TVSC Bristol TM"
"D1","TVSC Reading A"
"D2","TVSC Reading B"
"D3","TVSC Paddington"
"D4","TVSC Hayes"
"D5","TVSC Didcot"
"D6","TVSC Maidenhead"
"D7","TVSC Swindon"
"D9","TVSC Stoke Gifford"
"DA","TVSC Acton"
"DR","Doncaster"
"DY","EMCC Derby"
"E1","Edgeley No1"
"EA","Edinburgh A"
"EB","Edinburgh B"
"EC","Edinburgh C"
"ED","Edinburgh D"
"EH","Eastleigh"
"EK","East Kent"
"EN","Cambridge IECC"
"EX","Exeter"
"F2","Shepperton Branch"
"FE","Ferrybridge"
"FH","Feltham"
"G1","WSSC Glasgow"
"G2","WSSC Paisley"
"G3","WSSC Newton"
"G4","WSSC Motherwell"
"GD","Guildford"
"GL","Gloucester"
"HG","Harrogate"
"HN","Heaton Norris"
"HT","Havant"
"IH","Highlands"
"KG","EMCC Kettering"
"KN","WMSC Kings Norton"
"KX","King's Cross"
"L2","Lincoln East"
"LA","Lancing"
"LB","London Bridge"
"LC","WMSC Leamington"
"LN","Lincoln"
"LR","EMCC Leicester"
"LS","Liverpool Street"
"M0","MRROC Lime St"
"M1","MRROC Liverpool"
"M2","MRROC Manc Nth"
"M3","MRROC Manc Ctl"
"M4","MRROC Wavertree"
"M5","MRROC Wavertr W"
"M6","MRROC Macclesfld"
"M9","MRROC Blackpool"
"MA","Maidstone East"
"MD","EMCC Mansfield"
"ME","Marylebone"
"MH","Machynlleth"
"MO","Morpeth"
"MP","Manchester Pic"
"MS","Manchester Sth"
"MZ","Manchester East"
"NE","EMCC Nth Erewash"
"NJ","Neasden Jn"
"NK","North Kent"
"NL","Colchester NYL"
"NM","EMCC Nottingham"
"NS","WMSC Bham N St"
"NX","East London Line"
"PB","Peterborough"
"PH","Plymouth"
"PJ","WMSC Proof House"
"PT","Port Talbot"
"PX","Preston"
"Q0","ROROC Crossrail"
"Q1","ROROC Stratford"
"Q2","ROROC Shenfield"
"Q3","ROROC W Anglia"
"Q4","ROROC Liverpool St"
"Q5","ROROC LT&S (Main)"
"Q6","ROROC LT&S (Loop)"
"R1","Watford-Bletchley"
"R2","Northampton-Rugby"
"R3","RYROC Stafford"
"RA","Radyr"
"RT","Marston Vale"
"RW","Rochdale West"
"SC","Scunthorpe"
"SJ","WMSC Stourbridge"
"SK","Stoke-on-Trent"
"SM","Stirling Middle"
"SO","South Tottenham"
"SS","Merseyrail"
"SU","Woking PSB"
"SV","WMSC Stour Vly"
"SX","Saxmundham"
"T1","Tyneside 1"
"T2","Tyneside 2"
"TB","Three Bridges"
"TD","WMSC Telford"
"TE","Tonbridge"
"TH","Thrumpton"
"TN","EMCC Chesterfld"
"TW","Tweedmouth"
"TY","Tees Yard"
"UR","Upminster A"
"U2","Upminster B"
"U3","Upminster 3"
"VC","Victoria"
"W2","Alton branch"
"WA","Warrington"
"WC","Wembley C"
"WD","Winsford"
"WE","Worksop"
"WH","West Hampstead"
"WI","Wimbledon"
"WJ","Watford area"
"WK","Wakefield K"
"WL","WMSC Walsall"
"WN","WMSC Water O"
"WO","WMSC Wolves"
"WS","Euston DC lines"
"WW","Westbury"
"WY","Wembley"
"X0","TBROC TLink Core"
"X1","TBROC London Bdg"
"X2","TBROC Charing X"
"X3","TBROC Cannon St"
"X5","TBROC Sutton"
"X6","TBROC Streatham"
"X7","TBROC East Sussex"
"XB","Macclesfield"
"XE","Warrington Central"
"XL","Hunts Cross"
"Y0","YKROC Nth Lincs"
"Y1","YKROC York"
"Y2","YKROC Leeds City"
"Y3","YKROC Leeds NW"
"Y4","YKROC Sheffield"
"Y5","YKROC Brough"
"Y6","YKROC Huddersfld"
"Y7","YKROC Halifax"
"Y8","YKROC Kings X Nth"
"Y9","YKROC Kings X Sth"
"YA","YKROC Hartlepool"
"YB","YKROC Middlesbro"
"YC","YKROC Peterborough"
"YD","YKROC Tyneside 1"
"YE","YKROC Tyneside 2"
"YO","Yoker"
"ZA","Ashford"
"ZB","Bournemouth"
"ZG","Guildford"
"ZH","Horsham"
"ZR","Rainham"
"ZY","Yeovil"
