delay_code,long_text,short_text
AA,waiting for terminal/yard acceptance,waiting for acceptance 
AC,waiting for train preparation or completion of TOPS list,waiting for preparation
AD,a shortage of terminal/yard staff,staff shortage
AE,congestion in the terminal/yard,congestion
AG,adjusting loaded wagons,adjusting wagons
AH,customer equipment breakdown or reduced capacity,waiting for customer
AJ,waiting for customer traffic,waiting for customer
AK,an incident in a freight yard,a fire
AX,problem with the infrastructure,problem with infrastructure
AZ,unknown cause related to a freight operating company,unknown cause
DA,a problem with rolling stock,rolling stock issue
DB,a problem with operating a train service,operational issue
DC,a problem with the train crew,train crew issue
DD,a problem with rolling stock,rolling stock issue
DE,a problem at a station,station issue
DF,a problem external to the railway,external issue
DG,a problem in a freight yard,freight yard issue
DH,a problem with rail adhesion,Autumn weather
FA,an incident with dangerous goods,incident
FC,a problem with the train crew,train crew issue
FE,the train crew not being available,planning error
FF,a train crew rostering issue,train crew issue
FG,the driver adhering to company policy,company driving policy
FH,a planning error,planning error
FI,a signalling problem with ETCS/ERTMS equipment,ETCS/ERTMS signalling problem
FJ,being held at the request of the train operator,held at customer request
FK,being diverted at request of the train operator ,diverted at customer request 
FL,a request by the train operator,request by customer
FM,a problem with the train,problem with train
FN,a late arrival of the service from Europe,late arrival from Europe
FO,an unknown problem,unknown cause
FP,an incorrect route being taken,incorrect route
FS,a signalling problem with ETCS/ERTMS equipment,ETCS/ERTMS signalling problem
FT,it being Autumn,Autumn weather
FX,the train running at a slower speed than expected,slow train
FW,a late start from the yard due to an unknown problem,late start
FZ,unknown cause related to a freight operating company,unknown cause
I0,a problem with safety equipment,safety equipment problem
I1,a problem with the electrified line,electrified line problem
I2,a power supply problem,power supply problem
I4,a power supply problem,power supply problem
I5,overrunning engineering works,overrunning engineering work
I6,track inspections,engineering work
I7,a broken down train related to engineering works,broken down train
I8,animals on the line,animals on line
I9,a fire,fire
IA,a signal failure,signal failure
IB,a points failure,points failure
IC,a signalling problem (track circuit failure),signalling system fault
ID,a level crossing failure,level crossing failure
IE,a signalling power failure,power failure
IF,a signalling systems failure,signalling problem
IG,a signalling problem,signalling problem
IH,a power failure,power failure
II,a fault with lineside cabling,power supply failure
IJ,a problem with trackside signalling equipment,trackside equipment problem
IK,a signalling problem,signalling problem
IL,a signal failure,signal failure
IM,a signal failure,signal failure
IN,a problem with track-side equipment,trackside equipment problem
IP,a points failure caused by adverse weather conditions,points failure
IQ,a problem with track-side equipment,trackside equipment problem
IR,a rail defect,rail defect
IS,a problem with the track,track problem
IT,a reported problem with the track,track problem
IV,a problem with the track,track problem
IW,a problem with the infrastructure caused by adverse weather conditions,infrastructure problem - weather
IZ,a problem with the infrastructure,infrastructure problem
J0,a problem with train communications,train comms problem
J2,a minor signalling problem,minor signalling problem
J3,a problem with signalling equipment,signal failure
J4,a reported problem with the infrastructure,safety equipment problem
J5,a reported problem with the infrastructure,safety equipment problem
J6,a lightning strike,lightning strike
J7,a signalling problem,signalling problem
J8,damage to the track during engineering works,track damage
J9,emergency engineering works,emergency engineering work
JA,temporary speed restrictions,temporary speed restrictions
JB,temporary speed restrictions,temporary speed restrictions
JD,a problem with the infrastructure,infrastructure problem
JF,a problem with the infrastructure,infrastructure problem
JG,temporary speed restrictions,temporary speed restrictions
JH,heat causing emergency speed restrictions,"emergency speed restrictions, heat"
JK,flooding,flooding
JL,an unknown cause,unknown cause
JP,lineside vegetation,lineside vegetation
JR,a signalling problem,signalling problem
JS,a problem with the track causing temporary speed restrictions,temporary speed restrictions
JT,a points failure caused by adverse weather conditions,points failure - weather
JX,an obstruction on the line,obstruction on line
M0,a problem with the on-board safety systems,on-board safety systems problem
M1,a problem with a pantograph,train problem
M3,a problem with the train,train problem
M5,a problem with the doors,door problem
M6,a problem with the train,train problem
M7,a problem with the doors,door problem
M8,a problem with the train,train problem
M9,a problem with the train,train problem
MB,a problem with the traction equipment,train fault
MC,a problem with the traction equipment,train fault
MD,a problem with the traction equipment,train fault
ME,a problem with a steam locomotive,steam locomotive fault
MF,a problem with the train,problem with train
MG,a problem with the train,train fault
MH,a problem with the doors,problem with doors
MI,a problem with a coach,problem with a coach
MJ,a problem with the train,problem with train
MK,a problem with the train,problem with train
ML,a problem with the train,problem with train
MN,a problem with the train,train fault
MO,a delay with the train coming from depot,train delayed from depot
MP,a problem with rail adhesion,rail adhesion issue
MQ,a problem with the train,problem with train
MR,safety checks,safety checks
MS,the planned train being replaced with a slower train,train swapped
MT,a problem with the on-board safety systems,on-board safety systems problem
MU,a problem at the depot,problem at depot
MV,a problem with engineering equipment outside engineering works,equipment fault
MW,adverse weather conditions,adverse weather
MY,a problem with the train,mishap
NA,a problem with the onboard tilting equipment,tilting equipment problem
OA,late running caused by another service,late due to another service
OB,late running caused by another service,late due to another service
OC,an error having been made,error having been made
OD,late running caused by the decision of route control,decision by route control
OE,a problem with rail adhesion,rail adhesion problem
OF,an error having been made,error having been made
OG,a problem with the infrastructure caused by adverse weather conditions,adverse weather conditions
