"code","long","short"
"AW","Transport for Wales","TfW"
"CC","c2c","c2c"
"CH","Chiltern Railways","Chiltern"
"CS","Caledonian Sleeper","Caledonian Sleeper"
"DC","Devon & Cornwall","Devon & Cornwall"
"EM","East Midlands Railway","EMR"
"ES","Eurostar","Eurostar"
"GC","Grand Central","Grand Central"
"GN","Great Northern","Great Northern"
"GR","LNER","LNER"
"GW","Great Western Railway","GWR"
"GX","Gatwick Express","Gatwick Express"
"HC","Heathrow Connect","Heathrow Connect"
"HT","Hull Trains","Hull Trains"
"HX","Heathrow Express","Heathrow Express"
"IL","Island Line","Island Line"
"LD","Lumo (East Coast)","Lumo"
"LF","Lumo (West Coast)","Lumo"
"LE","Greater Anglia","Greater Anglia"
"LM","West Midlands Trains","WMT"
"LO","London Overground","London Overground"
"LR","Network Rail","Network Rail"
"LS","Locomotive Services","Locomotive Services"
"LT","London Underground","London Underground"
"ME","Merseyrail","Merseyrail"
"MV","Varamis Rail","Varamis"
"NT","Northern","Northern"
"NY","North Yorkshire Moors","NYMR"
"PX","Europhoenix","Europhoenix"
"SE","Southeastern","Southeastern"
"SN","Southern","Southern"
"SO","RailAdventure","RailAdventure"
"SR","ScotRail","ScotRail"
"SP","Swanage Railway","Swanage Railway"
"SW","South Western Railway","SWR"
"TL","Thameslink","Thameslink"
"TP","Transpennine Express","TPE"
"TW","Tyne & Wear Metro","Tyne & Wear Metro"
"TY","Vintage Trains","Vintage Trains"
"VT","Avanti West Coast","Avanti WC"
"WR","West Coast Railways","West Coast Railways"
"XC","CrossCountry","CrossCountry"
"XR","Elizabeth Line","Elizabeth Line"
"YG","Hanson & Hall","Hanson & Hall"
"XM","Christmas Special","Christmas Special"
